lat,lon,alt,temp,dist,vel
-24,177353;-47,024120;97,000000;0;6,133721;22,081396
-24,177336;-47,023956;105,000000;1;16,741936;60,270969
-24,177401;-47,023987;118,000000;2;7,865076;9,438091
-24,177423;-47,023991;121,000000;5;2,494999;8,981996
-24,177446;-47,023987;119,000000;6;2,494693;1,796179
-24,177444;-47,023987;119,000000;11;0,189924;0,683727
-24,177446;-47,023994;120,000000;12;0,723420;0,081385
-24,177444;-47,023998;121,000000;44;0,403268;1,451764
-24,177427;-47,024033;120,000000;45;3,952103;1,293416
-24,177425;-47,024033;119,000000;56;0,190724;0,686608
-24,177423;-47,024036;119,000000;57;0,391539;0,704769
-24,177420;-47,024036;119,000000;59;0,379848;1,367454
-24,177397;-47,024124;117,000000;60;9,394112;2,601446
-24,177391;-47,024136;117,000000;73;1,186076;4,269873
-24,177382;-47,024220;116,000000;74;8,737558;6,291042
-24,177385;-47,024239;116,000000;79;1,824161;6,566981
-24,177435;-47,024273;116,000000;80;6,506806;3,346358
-24,177429;-47,024269;115,000000;87;0,833471;3,000497
-24,177423;-47,024269;116,000000;88;0,570040;2,052142
-24,177406;-47,024273;116,000000;89;1,932192;1,738973
-24,177410;-47,024269;116,000000;94;0,520129;0,936231
-24,177418;-47,024261;117,000000;96;1,178577;4,242878
-24,177439;-47,024197;118,000000;97;6,967286;8,360744
-24,177435;-47,024166;118,000000;100;3,140934;11,307361
-24,177402;-47,024082;118,000000;101;9,065768;10,878922
-24,177389;-47,024055;118,000000;104;3,162393;11,384615
-24,177364;-47,023979;119,000000;105;8,463902;10,156683
-24,177357;-47,023945;119,000000;108;3,546804;12,768495
-24,177343;-47,023869;119,000000;109;7,773559;13,992407
-24,177338;-47,023834;118,000000;111;3,511072;12,639859
-24,177319;-47,023766;118,000000;112;7,238327;13,028988
-24,177307;-47,023731;117,000000;114;3,710859;13,359091
-24,177280;-47,023666;116,000000;115;7,250795;13,051431
-24,177263;-47,023636;116,000000;117;3,649559;13,138411
-24,177216;-47,023586;116,000000;118;7,436202;13,385163
-24,177185;-47,023560;116,000000;120;4,192335;15,092406
-24,177126;-47,023506;116,000000;121;8,511165;15,320096
-24,177105;-47,023479;115,000000;123;3,588553;12,918790
-24,177073;-47,023422;115,000000;124;6,908775;12,435795
-24,177069;-47,023384;115,000000;126;3,855038;13,878139
-24,177080;-47,023308;113,000000;127;7,738758;13,929764
-24,177101;-47,023239;112,000000;129;7,295431;26,263550
-24,177120;-47,023174;111,000000;130;6,907491;24,866968
-24,177137;-47,023113;111,000000;131;6,577793;23,680056
-24,177153;-47,023056;111,000000;132;6,084245;21,903280
-24,177170;-47,022995;112,000000;133;6,577816;23,680140
-24,177179;-47,022938;113,000000;134;5,625277;20,250996
-24,177183;-47,022881;113,000000;135;5,903708;21,253347
-24,177181;-47,022820;114,000000;136;6,240122;22,464441
-24,177177;-47,022766;115,000000;137;5,557539;20,007141
-24,177164;-47,022678;116,000000;138;8,795677;15,832219
-24,177155;-47,022640;116,000000;140;4,264843;15,353435
-24,177114;-47,022560;115,000000;141;9,181428;11,017714
-24,177097;-47,022533;115,000000;144;3,360101;12,096362
-24,177032;-47,022469;114,000000;145;9,769575;17,585236
-24,176991;-47,022430;115,000000;147;5,941798;21,390472
-24,176949;-47,022392;113,000000;148;6,089530;21,922308
-24,176907;-47,022343;113,000000;149;7,040653;25,346352
-24,176865;-47,022297;113,000000;150;6,409059;23,072613
-24,176819;-47,022259;113,000000;151;6,390036;23,004129
-24,176779;-47,022224;113,000000;152;5,576141;20,074108
-24,176735;-47,022182;113,000000;153;6,683872;24,061939
-24,176693;-47,022110;113,000000;154;8,689417;15,640950
-24,176695;-47,022072;113,000000;156;3,817427;13,742738
-24,176708;-47,021984;114,000000;157;9,137122;16,446819
-24,176723;-47,021935;114,000000;159;5,142877;18,514357
-24,176750;-47,021889;113,000000;160;5,724593;20,608534
-24,176785;-47,021854;112,000000;161;5,141153;18,508150
-24,176825;-47,021820;112,000000;162;5,576141;20,074108
-24,176857;-47,021790;111,000000;163;4,769926;17,171734
-24,176922;-47,021751;113,000000;164;8,161840;14,691313
-24,176950;-47,021751;112,000000;166;3,227360;11,618497
-24,177032;-47,021725;112,000000;167;9,528438;11,434125
-24,177052;-47,021713;111,000000;170;2,333892;8,402011
-24,177076;-47,021698;111,000000;171;3,166668;3,800001
-24,177061;-47,021702;111,000000;174;1,743272;6,275778
-24,177052;-47,021706;111,000000;175;1,189871;4,283536
-24,177048;-47,021706;111,000000;176;0,367786;1,324031
-24,177052;-47,021706;111,000000;177;0,367786;1,324031
-24,177061;-47,021698;112,000000;178;1,332970;4,798693
-24,177130;-47,021641;111,000000;179;9,613254;8,651928
-24,177143;-47,021626;110,000000;183;2,304731;8,297030
-24,177174;-47,021534;108,000000;184;9,961123;8,965012
-24,177177;-47,021507;107,000000;188;2,456259;8,842531
-24,177179;-47,021435;106,000000;189;7,626011;13,726820
-24,177179;-47,021393;106,000000;191;4,157776;14,967995
-24,177181;-47,021313;106,000000;192;7,972289;14,350121
-24,177179;-47,021278;105,000000;194;3,469734;12,491043
-24,177172;-47,021210;105,000000;195;6,971793;12,549227
-24,177166;-47,021172;104,000000;197;4,227715;15,219772
-24,177153;-47,021099;104,000000;198;7,434382;13,381888
-24,177143;-47,021053;104,000000;200;4,603456;16,572443
-24,177134;-47,021000;103,000000;201;5,660434;20,377563
-24,177126;-47,020943;103,000000;202;5,939495;21,382183
-24,177120;-47,020885;103,000000;203;5,596319;20,146749
