f0,f1,f2
203,608,1216
231,574,1146
157,627,1251
123,743,1235
139,823,1226
131,763,1262
218,788,1265
229,695,1252
227,790,1246
142,298,750
147,260,841
133,301,856
131,637,1267
136,633,1297
130,695,1266
117,350,699
121,246,719
139,381,727
105,210,815
148,641,982
132,634,898
204,719,1435
204,505,1210
268,536,1202
168,324,766
154,709,1349
154,310,922
162,631,1035
179,630,989
106,608,1027
112,673,1128
129,684,1114
118,664,1125
123,709,1135
129,634,1138
129,757,1137
129,775,1160
228,674,1343
120,601,837
240,600,1193
207,547,1093
255,510,1020
215,780,1200
210,735,1260
210,750,1170
106,825,1238
105,749,1382
106,730,1354
125,745,1235
105,705,1115
115,685,1135
130,646,904
134,653,1307
61,647,1059
171,698,1225
145,719,1305
167,669,1342
109,661,1302
112,782,1338
110,540,1330
136,270,405
141,279,418
132,268,398
110,660,1290
106,648,1287
100,703,1312
115,225,675
125,765,1246
125,245,835
267,781,1278
276,786,1295
261,812,1286
165,551,980
222,444,890
115,568,907
102,297,603
130,260,750
115,312,734
207,617,1233
205,620,1136
211,527,1258
155,593,1112
152,562,1097
163,622,1230
175,683,1283
169,833,1333
184,832,1331
202,758,1293
202,708,1333
111,772,1282
225,813,1230
231,793,1133
228,805,1263
158,647,1083
166,622,1139
174,597,1195
218,511,765
234,471,705
253,518,772
115,684,1028
128,730,1135
123,717,1120
151,782,1207
154,763,1184
169,768,1202
