Vogais,f0,f1,f2
A,202.7,608,1216
A,230.7,574.1,1146
A,157.2,626.7,1251
A,122.8,743.4,1234.6
A,138.9,823.1,1226
A,131,762.7,1261.6
A,218.4,788.4,1265.1
A,229.3,694.5,1252.1
A,226.9,789.5,1246
A,141.5,,750.47
A,146.9,,840.5
A,132.6,,855.6
A,131.2,636.5,1267.2
A,136.4,633.2,1297.1
A,129.7,694.8,1266.2
A,116.5,,699.02
A,120.64,,719.41
A,138.52,,727.27
A,104.97,,815.4
A,148.06,640.85,982.01
A,131.62,633.98,898.36
A,204,719,1435
A,204,505,1210
A,268,536,1202
A,167.93,,765.65
A,153.7,708.73,1349.1
A,153.7,,922.2
A,162.09,631.16,1034.84
A,179.12,629.6,989.05
A,106.39,608.46,1026.56
A,111.84,672.78,1127.8
A,128.75,684.48,1114.4
A,118.27,663.51,1124.9
A,123.16,708.53,1134.5
A,129.27,633.63,1138
A,128.97,757.43,1137.3
A,129,775,1160
A,228,674,1343
A,120,601,837
A,240,600,1193
A,207,547,1093
A,255,510,1020
A,215,780,1200
A,210,735,1260
A,210,750,1170
A,106,825,1238
A,105,749,1382
A,106,730,1354
A,125,745,1235
A,105,705,1115
A,115,685,1135
A,129.5,645.5,904.4
A,134.1,652.5,1306.6
A,61.2,647.2,1058.7
A,170.8,697.5,1225.1
A,144.7,718.6,1305
A,166.9,669.1,1341.5
A,108.6,660.8,1301.6
A,112.1,782.2,1337.5
A,109.8,540.2,1329.9
A,,,
A,,,
A,,,
A,110.4,659.7,1289.9
A,105.9,648,1287.1
A,99.7,702.8,1311.5
A,115.1,225.3,675.1
A,125.03,765.1,1245.8
A,125.1,,835.2
A,267,780.6,1277.5
A,275.8,786.1,1294.7
A,261.2,812.3,1286.1
A,165,551,980
A,222,444,890
A,115,568,907
A,102,,603
A,130,,750
A,115,,734
A,207,617,1233
A,205,620,1136
A,211,527,1258
A,155,593,1112
A,152,562,1097
A,163,622,1230
A,175,683,1283
A,169,833,1333
A,184,832,1331
A,202,758,1293
A,202,708,1332.5
A,111,772,1281.5
A,225,813,1230
A,231,793,1133
A,228,805,1263
A,158,647,1083
A,166,622,1139
A,174,597,1195
A,254,1025,
A,232,948,
A,254,1025,
A,114.6,683.7,1028.1
A,127.8,730.2,1134.7
A,122.5,716.6,1119.8
A,150.8,781.7,1206.8
A,153.7,763.1,1183.7
A,168.5,768,1202.2
A,242,859,1346
A,234,875,1353
A,249,868,1348
E,141.5,412.2,1909.4
E,135.7,411.3,1970.5
E,136.4,399.6,1854.5
E,103.1,409.2,1826
E,120.2,506.1,1893
E,130.7,392.2,1706
E,170.4,480,1790
E,233,,1799
E,229.7,,1754.8
E,130.83,620.05,1814.65
E,122.26,627.11,1770.91
E,116.97,584.89,1969.13
E,122.6,484.5,1611.8
E,136.2,276.6,2702.4
E,279.5,406.4,1893.3
E,109.84,326.85,1952.3
E,104.59,326.43,1973.2
E,113.37,395.41,1930.1
E,161.83,325.49,2160.3
E,165.9,321.43,2153.2
E,182.16,338.71,2160.3
E,109.79,403.49,2009.98
E,184.45,441.52,1907.45
E,108.5,532.24,1988.36
E,117.87,463.35,1833.9
E,111.67,463.77,1829.6
E,132.98,474.44,1840.3
E,128.07,527.85,1712.82
E,130.6,516.75,1860.69
E,136.57,555.91,1960.13
E,124,368,1958
E,117,461,1950
E,131,392,1808
E,118,358,1891
E,115.52,342.64,1916.78
E,114.21,227.76,1816.29
E,136,393,1682
E,267,530,1796
E,160,353,1625
E,105,415,2080
E,110,435,2082
E,110,422,2100
E,106,547,1939
E,202,614,1833
E,106,634,1786
E,105,405,2135
E,105,415,1445
E,105,415,1885
E,138.2,407.1,2072.4
E,138.1,407,2062.9
E,140,405,2073
E,184.6,370.5,1997.3
E,185.4,365.6,1972.9
E,180.4,361.3,1991.3
E,107.4,431.1,1391.2
E,112.9,345.1,2064.4
E,118.3,351,1958.2
E,142.46,283.45,
E,138.47,278.69,
E,142.25,282.01,
E,99.6,589.7,
E,98.7,583.4,1753.7
E,99.6,595.1,1796.2
E,,577.87,
E,,606.79,
E,121.67,303.62,
E,115.1,334.9,
E,125.3,474.15,
E,105.03,525.2,
E,,,
E,,,1735.5
E,100.6,,1673.1
E,213,458,2080
E,150,442,2018
E,217,434,1993
E,111,340,2010
E,129,456,2482
E,103,528,1993
E,107,531,1804
E,109,534,1800
E,106,527,1797
E,127,462,1832
E,149,501,1800
E,132,434,1870
E,,509,2309
E,,701,
E,,739,2277
E,126,370,2107
E,370,492,2215
E,234,471,2194
E,212,634,1914
E,228,570,1801
E,227,580,1780
E,151,462,1852
E,172,492,1906
E,150,479,1839
E,145.7,461.3,1826.7
E,131.2,408.9,1804.5
E,134.1,429.8,1867.6
E,243,496,
E,243,485,
E,243,496,
E,164.6,452.5,1858.2
E,158.3,453.1,1783.6
E,166.4,464.5,1823.1
E,236,453,1763
E,231,474,1758
E,244,439,1767
I,139,2132,2699.7
I,146,2074.6,2715.9
I,140.8,2042.5,2721.7
I,211.8,847.1,1953
I,162.7,1486,1898
I,147.1,969,1953
I,264.5,2238.3,3130.4
I,270,2298.8,3247.3
I,261,2248.6,3154.9
I,134.61,1201.92,2000
I,256.43,885.21,2283.35
I,264.85,907.25,2304.7
I,158.4,2114.8,3532.4
I,161.5,2162.1,3239.6
I,170.3,2058.9,3065
I,239.09,1077.5,2140
I,126.84,1044,2445.2
I,108.31,1861.8,3174.1
I,217.74,2174,3176.3
I,196.39,2231.5,3170.8
I,200.46,2239.6,3172.8
I,184.55,1101.49,2102.11
I,182.57,923.3,2206.9
I,192.76,931.01,2208.85
I,128.38,1873.8,2766.6
I,135.4,1867.3,2772.6
I,122.28,1893.3,2759.5
I,305.38,1998.54,2769.65
I,305.78,2002.88,3394.19
I,293.37,2038.03,3202.16
I,296,2205,2941
I,127,1281,2190
I,132,1425,3119
I,127.21,2045.43,2555.61
I,270.18,2177.6,2826.46
I,263.04,2128.45,2902.71
I,308,913,1971
I,311,940,2012
I,328,990,1980
I,216,2330,3080
I,220,2400,2955
I,224,2328,2992
I,221,2362,3264
I,221,2218,3322
I,317,2439,3072
I,115,2285,2395
I,225,2335,3765
I,225,2435,3105
I,157.2,2400,3256.1
I,158,2476,3257
I,157.2,2474,3723
I,201.5,2042.9,2657.4
I,188.1,1906.2,3062.3
I,188.1,2103.3,2847.9
I,119.5,1064.3,2256.7
I,231.7,1029.6,2285.9
I,116.8,1135.2,2274.1
I,159.07,,
I,154.88,,
I,154.021,,
I,207.4,2162.4,3234.2
I,202,2227.1,3541.2
I,207.4,2200.2,3121.2
I,343.78,643.9,
I,316.62,638.3,
I,341.31,664.2,
I,125.05,2247.4,3195.5
I,127.2,2257.9,3189.6
I,124.6,2242.8,3307.2
I,284.7,958.1,2937.5
I,298.5,930.7,2898
I,284.8,971.9,2957.4
I,216,2090,3009
I,109,2034,2990
I,233,2056,3066
I,137,2098,3152
I,145,2187,3189
I,151,2060,3241
I,223,2114,3014
I,222,2118,2784
I,229,2051,2842
I,207,1750,2925
I,205,1732,2879
I,203,1724,2921
I,198,572,2377
I,207,575,2373
I,197,567,2347
I,255,2416,3485
I,256,2528,3448
I,245,2441,3395
I,130,,2105
I,124,,2176
I,126,,2166
I,247,1678,2830
I,232,1698,2942
I,254,1721,2950
I,189.4,2134.2,3098.1
I,192.3,2157.9,3116.2
I,214.7,2195.3,3177.6
I,287,2889,3749
I,276,2999,3848
I,265,2944,3749
I,260.5,2249.1,2962.3
I,255.3,1853.9,2755.3
I,249.4,2007.6,2873.5
I,284,2117,3352
I,296,2236,3426
I,263,2228,3348
O,140.5,413.9,825.8
O,135.1,401.3,941.7
O,138.8,406.8,961.9
O,208.6,414.8,1038
O,201.5,404.2,1012
O,227.3,423.2,849.8
O,266.2,666.2,914.6
O,233.8,619.2,942.7
O,226.5,629.7,945.4
O,177.7,349.93,
O,172.9,355.6,
O,151.9,302.9,
O,252.9,520.1,1019.6
O,154.4,431.9,744.2
O,150.9,416,838.2
O,123.83,255.93,627.45
O,129.1,377.76,530.78
O,125.76,617.9,847.57
O,115.8,582.35,1049
O,117.53,587.58,930.6
O,118.25,219.03,579.88
O,165.9,321.43,788.02
O,165.9,476.96,788.02
O,183.18,511.52,649.71
O,146.08,477.87,1007.64
O,155.95,358.94,988.87
O,188.33,513.18,1063.38
O,116.69,439.86,976.39
O,110.1,445.1,964.94
O,121.65,422.2,976.5
O,130.91,515.09,896.82
O,132.33,639.22,894.91
O,128.97,640.18,893.44
O,126,498,867
O,122,366,843
O,119,467,932
O,120.31,545.12,761.98
O,228.86,570.88,923.18
O,120.45,565.8,904.54
O,274,545,972
O,249,486,990
O,245,607,979
O,219,435,760
O,220,445,775
O,215,430,860
O,104,528,840
O,216,536,864
O,106,528,950
O,225,455,895
O,215,425,955
O,215,425,950
O,129,636,891
O,130,636,764.9
O,128.9,635.9,890
O,164.1,664.7,823.6
O,169.8,624.1,944.1
O,172.7,647.5,988.3
O,127.2,381.4,879.5
O,115.2,447.9,890.4
O,115.3,468.5,936.8
O,146.41,294.46,
O,147.37,295.49,
O,146.83,293.56,
O,94.3,568.2,945.2
O,99.6,589.8,891.4
O,191.2,568.2,939.8
O,115.7,545.9,765.6
O,116.8,455.9,917.5
O,114.8,458.7,1024.3
O,253.5,511.5,746.7
O,230.8,496.3,723.9
O,238.3,503.9,777.1
O,120,360,733
O,102,513,715
O,117,452,702
O,115,587,1037
O,123,562,973
O,118,470,778
O,217,536,858
O,219,541,976
O,211,527,844
O,161,485,848
O,172,490,832
O,180,507,854
O,169,590,949
O,173,601,955
O,167,587,946
O,234,460,907
O,240.5,485,843.5
O,233,470,937
O,232,572,900
O,223,665,773
O,229,574,917
O,152,486,851
O,168,491,842
O,136,490,856
O,158.3,462.9,891.4
O,146.8,406.7,716.8
O,179.6,521.4,943.9
O,243,,1257
O,243,,1213
O,265,,1323
O,173,521,929
O,168,533,887
O,175,527,914
O,151.2,569.1,836.6
O,147.2,535.3,908.7
O,153.7,543.8,843.7
U,140,706,2262.7
U,146.1,740,2315
U,145.2,719.4,2416.7
U,118.2,709.4,2943
U,119.8,831.6,2489
U,124.4,751.9,1953
U,270,680,2366.7
U,285.2,716.7,2293.7
U,316.7,729.5,2245
U,396.31,663.59,2589.86
U,252.18,747.99,2115.76
U,278.87,825.7,2170.88
U,134.1,,3811.9
U,126.7,613.7,2309.5
U,125.7,610.8,2312.4
U,118.37,731.87,1908.4
U,124.08,364.06,2597.3
U,125.01,740.17,2150.9
U,183.13,540.8,
U,183.18,718.89,
U,200.46,744.82,
U,186.87,700.83,2261.51
U,177.49,734.79,2094.6
U,185.236,645.95,2111.42
U,137.21,826.15,2089.1
U,132.1,857.28,2086.9
U,147.86,825.75,2071.2
U,301.46,894.26,2077.32
U,297.63,899.4,2092.16
U,288.56,851.37,2129.64
U,128,621,
U,125,740,
U,122,609,
U,261.2,656.41,1180.17
U,353.85,707.69,3406.16
U,299.58,709.74,3214.4
U,202,813,
U,390,783,2137
U,272,793,
U,210,728,
U,320,630,
U,205,410,
U,326,653,2285
U,326,643,2371
U,336,672,1008
U,235,685,2485
U,215,425,2465
U,215,425,2475
U,150,384.6,2529.5
U,184.5,368.9,2400
U,189,300,2504.2
U,194.8,695.3,3163.7
U,208.6,636.6,3210.1
U,188.7,562.3,3315.8
U,126.3,754.4,2382.5
U,129.2,765.6,2546.7
U,125.7,763,2320.4
U,170.11,337.73,505.36
U,164.76,329.52,494.28
U,159.62,318.38,475.41
U,115.8,228.9,
U,115.8,228.9,
U,115.8,342,
U,366.31,455.06,
U,,590.4,
U,185.13,369.64,
U,125.6,355.3,1165.2
U,147.5,694.8,1427.3
U,124.8,366.7,1815.3
U,328.9,822.5,1576.9
U,288.9,859.3,1650.5
U,369.6,785.7,1595.3
U,115,343,
U,115,342,
U,110,364,
U,126,356,1150
U,129,541,1672
U,109,375,1254
U,221,665,2114
U,223,667,2112
U,223,670,2120
U,202,629,1844
U,222,635,1520
U,235,620,1760
U,286,644,
U,293,650,
U,291,648,
U,262,664,2229
U,272,676,2172
U,269,671,2157
U,275,658,1936
U,279,576,1956
U,267,665,2001
U,206,645,1866
U,215,635,1926
U,202,608,1837
U,128.3,740.8,2504.7
U,116.7,721.5,2467.3
U,119.1,735.7,2483.9
U,276,1114,2800
U,287,1158,2900
U,276,1091,2855
U,253.7,768,1364.8
U,247.2,689.3,1368.7
U,242.1,743.7,1298.5
U,263,744,2246
U,256,719,2318
U,254,706,2234
